words,tags_encoding
"['浙', '江', '在', '线', '杭', '州', '4', '月', '2', '5', '日', '讯']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['记', '者', '', '施', '宇', '翔', '', '通', '讯', '员', '', '方', '英']","['O', 'O', 'B_person_name', 'M_person_name', 'M_person_name', 'E_person_name', 'O', 'O', 'O', 'O', 'O', 'B_person_name', 'E_person_name']"
"['用', '微', '信', '交', '易', '毒', '品']","['O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['记', '者', '从', '杭', '州', '江', '干', '区', '公', '安', '分', '局', '了', '解', '到']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['江', '干', '区', '禁', '毒', '专', '案', '组', '抓', '获', '吸', '贩', '毒', '人', '员', '5', '名']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['黑', '龙', '江', '籍', '男', '子', '钱', '某', '长', '期', '落', '脚', '于', '宾', '馆']","['O', 'O', 'O', 'O', 'O', 'O', 'B_person_name', 'E_person_name', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['经', '常', '半', '夜', '驾', '车', '来', '往', '于', '杭', '州', '主', '城', '区', '的', '各', '大', '宾', '馆', '和', '单', '身', '公', '寓']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['并', '且', '常', '要', '活', '动', '到', '凌', '晨', '6', '、', '7', '点', '钟']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['白', '天', '则', '在', '家', '里', '呼', '呼', '大', '睡']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['钱', '某', '不', '寻', '常', '的', '特', '征']","['B_person_name', 'E_person_name', 'O', 'O', 'O', 'O', 'O', 'O']"
"['发', '现', '钱', '某', '实', '际', '上', '是', '在', '向', '落', '脚', '于', '宾', '馆', '和', '单', '身', '公', '寓', '的', '吸', '毒', '人', '员', '贩', '送']","['O', 'O', 'B_person_name', 'E_person_name', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['在', '即', '将', '举', '办', '的', '第', '十', '一', '届', '广', '州', '国', '际', '汽', '车', '展', '览', '会', '上']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['豪', '华', '运', '动', '型', '轿', '车', '全', '新', '英', '菲', '尼', '迪', 'Q', '5', '0', '', '2', '.', '0', 'T', '车', '型', '将', '全', '球', '首', '发']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['助', '力', '天', '才', '车', '手', '维', '特', '尔', '叱', '咤', '2', '0', '1', '3', '赛', '季', 'F', '1', '赛', '场', '成', '功', '卫', '冕']","['O', 'O', 'O', 'O', 'O', 'O', 'B_person_name', 'M_person_name', 'E_person_name', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['称', '号', '的', '冠', '军', '战', '车', 'R', 'B', '9', '也', '将', '震', '撼', '登', '临']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['创', '造', '2', '0', '1', '3', '收', '视', '率', '奇', '迹', '的', '《', '爸', '爸', '去', '哪', '儿', '》', '节', '目', '重', '量', '级', '嘉', '宾', '更', '是', '会', '神', '秘', '亮', '相']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['嘉', '宾', '与', '明', '星', '家', '庭', '专', '属', '座', '驾', '英', '菲', '尼', '迪', 'J', 'X', '的', '温', '馨', '情', '缘']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['全', '新', '英', '菲', '尼', '迪', 'Q', '5', '0', '集', '智', '能']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['搭', '载', '全', '新', '动', '力', '总', '成', '的', '英', '菲', '尼', '迪', 'Q', '5', '0', '', '2', '.', '0', 'T', '车', '型', '将', '世', '界', '首', '演']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['它', '专', '为', '中', '国', '市', '场', '量', '身', '打', '造']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['也', '是', '英', '菲', '尼', '迪', '首', '款', '搭', '载', '涡', '轮', '增', '压', '发', '动', '机', '的', '车', '型']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['英', '菲', '尼', '迪', 'Q', '5', '0', '', '2', '.', '0', 'T', '车', '型', '不', '仅', '拥', '有', '领', '先', '同', '级', '别', '其', '它', '车', '型', '的', '极', '佳', '加', '速', '表', '现']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['将', '助', '推', '英', '菲', '尼', '迪', 'Q', '5', '0', '成', '为', '同', '级', '别', '最', '具', '竞', '争', '力', '的', '车', '型']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['H', 'M', 'C', '证', '券', '分', '析', '师', '格', '雷', '格', '・', '罗']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_person_name', 'M_person_name', 'M_person_name', 'E_person_name']"
"['G', 'r', 'e', 'g', '', 'R', 'o', 'h']","['B_person_name', 'M_person_name', 'M_person_name', 'M_person_name', 'M_person_name', 'M_person_name', 'M_person_name', 'E_person_name']"
"['L', 'G', '手', '机', '的', '质', '量', '有', '了', '一', '定', '的', '提', '升']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['L', 'G', '与', '三', '星']","['O', 'O', 'O', 'O', 'O']"
"['苹', '果', '等', '手', '机', '巨', '头', '仍', '有', '不', '小', '的', '差', '距']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['L', 'G', '手', '机', '在', '工', '业', '设', '计', '及', '产', '品', '本', '身', '以', '及', '渠', '道', '方', '面', '都', '与', '三', '星', '存', '在', '着', '一', '定', '的', '差', '距']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['产', '品', '的', '细', '节', '化', '始', '终', '没', '有', '三', '星', '完', '善']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
